income,youngerWithoutPayrollTaxCredit,youngerWithPayrollTaxCredit,youngerDeductedLabourCredit,olderBefore1945WithoutPayrollTaxCredit,olderBefore1945WithPayrollTaxCredit,olderBefore1945DeductedLabourCredit,olderWithoutPayrollTaxCredit,olderWithPayrollTaxCredit,olderDeductedLabourCredit
292.50,108.42,0.00,0.00,56.00,0.00,0.00,56.00,0.00,0.00
297.00,110.08,0.00,0.00,56.92,0.00,0.00,56.92,0.00,0.00
301.50,111.75,0.00,0.00,57.75,0.00,0.00,57.75,0.00,0.00
306.00,113.42,0.00,0.00,58.58,0.00,0.00,58.58,0.00,0.00
310.50,115.08,0.00,0.00,59.50,0.00,0.00,59.50,0.00,0.00
315.00,116.75,0.00,0.00,60.33,0.00,0.00,60.33,0.00,0.00
319.50,118.42,0.00,0.00,61.17,0.00,0.00,61.17,0.00,0.00
324.00,120.08,0.00,0.00,62.08,0.00,0.00,62.08,0.00,0.00
328.50,121.75,0.00,0.00,62.92,0.00,0.00,62.92,0.00,0.00
333.00,123.42,0.00,0.00,63.83,0.00,0.00,63.83,0.00,0.00
337.50,125.08,0.00,0.00,64.67,0.00,0.00,64.67,0.00,0.00
342.00,126.75,0.00,0.00,65.50,0.00,0.00,65.50,0.00,0.00
346.50,128.42,0.00,0.00,66.42,0.00,0.00,66.42,0.00,0.00
351.00,130.08,0.00,0.00,67.25,0.00,0.00,67.25,0.00,0.00
355.50,131.75,0.00,0.00,68.08,0.00,0.00,68.08,0.00,0.00
360.00,133.42,0.00,0.00,69.00,0.00,0.00,69.00,0.00,0.00
364.50,135.08,0.00,0.00,69.83,0.00,0.00,69.83,0.00,0.00
369.00,136.75,0.00,0.00,70.67,0.00,0.00,70.67,0.00,0.00
373.50,138.42,0.00,0.00,71.58,0.00,0.00,71.58,0.00,0.00
378.00,140.08,0.00,0.00,72.42,0.00,0.00,72.42,0.00,0.00
382.50,141.75,0.00,0.00,73.25,0.00,0.00,73.25,0.00,0.00
387.00,143.42,0.00,0.00,74.17,0.00,0.00,74.17,0.00,0.00
391.50,145.08,0.00,0.00,75.00,0.00,0.00,75.00,0.00,0.00
396.00,146.75,0.00,0.00,75.83,0.00,0.00,75.83,0.00,0.00
400.50,148.42,0.00,0.00,76.75,0.00,0.00,76.75,0.00,0.00
405.00,150.08,0.00,0.00,77.58,0.00,0.00,77.58,0.00,0.00
409.50,151.75,0.00,0.00,78.50,0.00,0.00,78.50,0.00,0.00
414.00,153.42,0.00,0.00,79.33,0.00,0.00,79.33,0.00,0.00
418.50,155.08,0.00,0.00,80.17,0.00,0.00,80.17,0.00,0.00
423.00,156.75,0.00,0.00,81.08,0.00,0.00,81.08,0.00,0.00
427.50,158.42,0.00,0.00,81.92,0.00,0.00,81.92,0.00,0.00
432.00,160.08,0.00,0.00,82.75,0.00,0.00,82.75,0.00,0.00
436.50,161.75,0.00,0.00,83.67,0.00,0.00,83.67,0.00,0.00
441.00,163.42,0.00,0.00,84.50,0.00,0.00,84.50,0.00,0.00
445.50,165.08,0.00,0.00,85.33,0.00,0.00,85.33,0.00,0.00
450.00,166.75,0.00,0.00,86.25,0.00,0.00,86.25,0.00,0.00
454.50,168.42,0.00,0.00,87.08,0.00,0.00,87.08,0.00,0.00
459.00,170.08,0.00,0.00,87.92,0.00,0.00,87.92,0.00,0.00
463.50,171.75,0.00,0.00,88.83,0.00,0.00,88.83,0.00,0.00
468.00,173.42,0.00,0.00,89.67,0.00,0.00,89.67,0.00,0.00
472.50,175.08,0.00,0.00,90.50,0.00,0.00,90.50,0.00,0.00
477.00,176.75,0.00,0.00,91.42,0.00,0.00,91.42,0.00,0.00
481.50,178.42,0.00,0.00,92.25,0.00,0.00,92.25,0.00,0.00
486.00,180.08,0.00,0.00,93.08,0.00,0.00,93.08,0.00,0.00
490.50,181.75,0.00,0.00,94.00,0.00,0.00,94.00,0.00,0.00
495.00,183.42,0.00,0.00,94.83,0.00,0.00,94.83,0.00,0.00
499.50,185.08,0.00,0.00,95.75,0.00,0.00,95.75,0.00,0.00
504.00,186.75,0.00,0.00,96.58,0.00,0.00,96.58,0.00,0.00
508.50,188.50,0.00,0.00,97.42,0.00,0.00,97.42,0.00,0.00
513.00,190.17,0.00,0.00,98.33,0.00,0.00,98.33,0.00,0.00
517.50,191.83,0.00,0.00,99.17,0.00,0.00,99.17,0.00,0.00
522.00,193.50,0.00,0.00,100.00,0.00,0.00,100.00,0.00,0.00
526.50,195.17,0.00,0.00,100.92,0.00,0.00,100.92,0.00,0.00
531.00,196.83,0.00,0.00,101.75,0.00,0.00,101.75,0.00,0.00
535.50,198.50,0.00,0.00,102.58,0.00,0.00,102.58,0.00,0.00
540.00,200.17,0.00,0.00,103.50,0.00,0.00,103.50,0.00,0.00
544.50,201.83,0.00,0.00,104.33,0.00,0.00,104.33,0.00,0.00
549.00,203.50,0.00,0.00,105.17,0.00,0.00,105.17,0.00,0.00
553.50,205.17,0.00,0.00,106.08,0.00,0.00,106.08,0.00,0.00
558.00,206.83,0.00,0.00,106.92,0.00,0.00,106.92,0.00,0.00
562.50,208.50,0.00,0.00,107.75,0.00,0.00,107.75,0.00,0.00
567.00,210.17,0.00,0.00,108.67,0.00,0.00,108.67,0.00,0.00
571.50,211.83,0.00,0.00,109.50,0.00,0.00,109.50,0.00,0.00
576.00,213.50,0.00,0.00,110.42,0.00,0.00,110.42,0.00,0.00
580.50,215.17,0.00,0.00,111.25,0.00,0.00,111.25,0.00,0.00
585.00,216.83,0.00,0.00,112.08,0.00,0.00,112.08,0.00,0.00
589.50,218.50,0.00,0.00,113.00,0.00,0.00,113.00,0.00,0.00
594.00,220.17,0.00,0.00,113.83,0.00,0.00,113.83,0.00,0.00
598.50,221.83,0.00,0.00,114.67,0.00,0.00,114.67,0.00,0.00
603.00,223.50,0.00,0.00,115.58,0.00,0.00,115.58,0.00,0.00
607.50,225.17,0.00,0.00,116.42,0.00,0.00,116.42,0.00,0.00
612.00,226.83,0.00,0.00,117.25,0.00,0.00,117.25,0.00,0.00
616.50,228.50,0.00,0.00,118.17,0.00,0.00,118.17,0.00,0.00
621.00,230.17,0.00,0.00,119.00,0.00,0.00,119.00,0.00,0.00
625.50,231.83,0.00,0.00,119.83,0.00,0.00,119.83,0.00,0.00
630.00,233.50,0.00,0.00,120.75,0.00,0.00,120.75,0.00,0.00
634.50,235.17,0.00,0.00,121.58,0.00,0.00,121.58,0.00,0.00
639.00,236.83,0.00,0.00,122.42,0.00,0.00,122.42,0.00,0.00
643.50,238.50,0.00,0.00,123.33,0.00,0.00,123.33,0.00,0.00
648.00,240.17,0.00,0.00,124.17,0.00,0.00,124.17,0.00,0.00
652.50,241.83,0.00,1.17,125.08,0.00,0.00,125.08,0.00,0.00
657.00,243.50,0.00,2.83,125.92,0.00,0.00,125.92,0.00,0.00
661.50,245.17,0.00,4.50,126.75,0.00,0.00,126.75,0.00,0.00
666.00,246.83,0.00,6.17,127.67,0.00,0.00,127.67,0.00,0.00
670.50,248.50,0.00,7.83,128.50,0.00,0.00,128.50,0.00,0.00
675.00,250.17,0.00,9.50,129.33,0.00,0.00,129.33,0.00,0.00
679.50,251.83,0.00,11.17,130.25,0.00,0.00,130.25,0.00,0.00
684.00,253.50,0.00,12.83,131.08,0.00,0.00,131.08,0.00,0.00
688.50,255.17,0.00,14.50,131.92,0.00,0.00,131.92,0.00,0.00
693.00,256.83,0.00,16.17,132.83,0.00,0.00,132.83,0.00,0.00
697.50,258.50,0.00,17.83,133.67,0.00,0.00,133.67,0.00,0.00
702.00,260.17,0.00,19.50,134.50,0.00,0.00,134.50,0.00,0.00
706.50,261.83,0.00,21.17,135.42,0.00,0.00,135.42,0.00,0.00
711.00,263.50,0.00,22.83,136.25,0.00,0.00,136.25,0.00,0.00
715.50,265.17,0.00,24.50,137.08,0.00,0.00,137.08,0.00,0.00
720.00,266.83,0.00,26.17,138.00,0.00,0.00,138.00,0.00,0.00
724.50,268.50,0.00,27.83,138.83,0.00,0.00,138.83,0.00,0.00
729.00,270.17,0.00,29.50,139.67,0.00,0.00,139.67,0.00,0.00
733.50,271.83,0.00,31.17,140.58,0.00,0.00,140.58,0.00,0.00
738.00,273.50,0.00,32.83,141.42,0.00,0.00,141.42,0.00,0.00
742.50,275.17,0.75,33.75,142.33,0.00,0.00,142.33,0.00,0.00
747.00,276.83,2.17,34.00,143.17,0.00,0.00,143.17,0.00,0.00
751.50,278.50,3.67,34.17,144.00,0.00,0.00,144.00,0.00,0.00
756.00,280.17,5.17,34.33,144.92,0.00,0.00,144.92,0.00,0.00
760.50,281.92,6.67,34.58,145.75,0.00,0.00,145.75,0.00,0.00
765.00,283.58,8.17,34.75,146.58,0.00,0.00,146.58,0.00,0.00
769.50,285.25,9.58,35.00,147.50,0.00,0.00,147.50,0.00,0.00
774.00,286.92,11.08,35.17,148.33,0.00,0.00,148.33,0.00,0.00
778.50,288.58,12.50,35.42,149.17,0.00,0.00,149.17,0.00,0.00
783.00,290.25,14.00,35.58,150.08,0.00,0.00,150.08,0.00,0.00
787.50,291.92,15.42,35.83,150.92,0.00,0.00,150.92,0.00,0.00
792.00,293.58,16.92,36.00,151.75,0.00,0.00,151.75,0.00,0.00
796.50,295.25,18.33,36.25,152.67,0.00,0.00,152.67,0.00,0.00
801.00,296.92,19.83,36.42,153.50,0.00,0.00,153.50,0.00,0.00
805.50,298.58,21.33,36.58,154.33,0.00,0.00,154.33,0.00,0.00
810.00,300.25,22.75,36.83,155.25,0.00,0.00,155.25,0.00,0.00
814.50,301.92,24.25,37.00,156.08,0.00,0.00,156.08,0.00,0.00
819.00,303.58,25.67,37.25,157.00,0.00,0.00,157.00,0.00,0.00
823.50,305.25,27.17,37.42,157.83,0.00,0.00,157.83,0.00,0.00
828.00,306.92,28.58,37.67,158.67,0.00,0.00,158.67,0.00,0.00
832.50,308.58,30.08,37.83,159.58,0.00,0.00,159.58,0.00,0.00
837.00,310.25,31.50,38.08,160.42,0.00,0.00,160.42,0.00,0.00
841.50,311.92,33.00,38.25,161.25,0.00,0.00,161.25,0.00,0.00
846.00,313.58,34.42,38.50,162.17,0.00,0.00,162.17,0.00,0.00
850.50,315.25,35.92,38.67,163.00,0.00,0.00,163.00,0.00,0.00
855.00,316.92,37.42,38.83,163.83,0.00,0.00,163.83,0.00,0.00
859.50,318.58,38.83,39.08,164.75,0.00,0.00,164.75,0.00,0.00
864.00,320.25,39.92,39.67,165.58,0.00,0.00,165.58,0.00,0.00
868.50,321.92,40.33,40.92,166.42,0.00,0.00,166.42,0.00,0.00
873.00,323.58,40.75,42.17,167.33,0.00,0.00,167.33,0.00,0.00
877.50,325.25,41.08,43.50,168.17,0.00,0.00,168.17,0.00,0.00
882.00,326.92,41.50,44.75,169.00,0.00,0.00,169.00,0.00,0.00
886.50,328.58,41.92,46.00,169.92,0.00,0.00,169.92,0.00,0.00
891.00,330.25,42.25,47.33,170.75,0.00,0.00,170.75,0.00,0.00
895.50,331.92,42.67,48.58,171.67,0.00,0.00,171.67,0.00,0.00
900.00,333.58,43.00,49.92,172.50,0.00,0.00,172.50,0.00,0.00
904.50,335.25,43.42,51.17,173.33,0.00,0.00,173.33,0.00,0.00
909.00,336.92,43.83,52.42,174.25,0.00,0.00,174.25,0.00,0.00
913.50,338.58,44.17,53.75,175.08,0.00,0.00,175.08,0.00,0.00
918.00,340.25,44.58,55.00,175.92,0.00,0.00,175.92,0.00,0.00
922.50,341.92,45.00,56.25,176.83,0.00,0.00,176.83,0.00,0.00
927.00,343.58,45.33,57.58,177.67,0.00,0.00,177.67,0.00,0.00
931.50,345.25,45.75,58.83,178.50,0.00,0.00,178.50,0.00,0.00
936.00,346.92,46.08,60.17,179.42,0.00,0.00,179.42,0.00,0.00
940.50,348.58,46.50,61.42,180.25,0.00,0.00,180.25,0.00,0.00
945.00,350.25,46.92,62.67,181.08,0.00,0.00,181.08,0.00,0.00
949.50,351.92,47.25,64.00,182.00,0.00,0.00,182.00,0.00,0.00
954.00,353.58,47.67,65.25,182.83,0.00,0.00,182.83,0.00,0.00
958.50,355.25,48.08,66.50,183.67,0.00,0.00,183.67,0.00,0.00
963.00,356.92,48.42,67.83,184.58,0.00,0.00,184.58,0.00,0.00
967.50,358.58,48.83,69.08,185.42,0.00,0.00,185.42,0.00,0.00
972.00,360.25,49.25,70.33,186.25,0.00,0.00,186.25,0.00,0.00
976.50,361.92,49.58,71.67,187.17,0.00,0.00,187.17,0.00,0.00
981.00,363.58,50.00,72.92,188.00,0.00,0.00,188.00,0.00,0.00
985.50,365.25,50.33,74.25,188.92,0.00,0.00,188.92,0.00,0.00
990.00,366.92,50.75,75.50,189.75,0.00,0.00,189.75,0.00,0.00
994.50,368.58,51.17,76.75,190.58,0.00,0.00,190.58,0.00,0.00
999.00,370.25,51.50,78.08,191.50,0.00,0.00,191.50,0.00,0.00
1003.50,371.92,51.92,79.33,192.33,0.00,0.00,192.33,0.00,0.00
1008.00,373.58,52.33,80.58,193.17,0.00,0.00,193.17,0.00,0.00
1012.50,375.33,52.75,81.92,194.08,0.00,0.00,194.08,0.00,0.00
1017.00,377.00,53.17,83.17,194.92,0.00,0.00,194.92,0.00,0.00
1021.50,378.67,53.50,84.50,195.75,0.00,0.00,195.75,0.00,0.00
1026.00,380.33,53.92,85.75,196.67,0.00,0.00,196.67,0.00,0.00
1030.50,382.00,54.33,87.00,197.50,0.00,0.00,197.50,0.00,0.00
1035.00,383.67,54.67,88.33,198.33,0.00,0.00,198.33,0.00,0.00
1039.50,385.33,55.08,89.58,199.25,0.00,0.00,199.25,0.00,0.00
1044.00,387.00,55.50,90.83,200.08,0.00,0.00,200.08,0.00,0.00
1048.50,388.67,55.83,92.17,200.92,0.00,0.00,200.92,0.00,0.00
1053.00,390.33,56.25,93.42,201.83,0.00,0.00,201.83,0.00,0.00
1057.50,392.00,56.67,94.67,202.67,0.00,0.00,202.67,0.00,0.00
1062.00,393.67,57.00,96.00,203.58,0.00,0.00,203.58,0.00,0.00
1066.50,395.33,57.42,97.25,204.42,0.00,0.00,204.42,0.00,0.00
1071.00,397.00,57.75,98.58,205.25,0.00,0.00,205.25,0.00,0.00
1075.50,398.67,58.17,99.83,206.17,0.00,0.00,206.17,0.00,0.00
1080.00,400.33,58.58,101.08,207.00,0.00,0.00,207.00,0.00,0.00
1084.50,402.00,58.92,102.42,207.83,0.00,0.00,207.83,0.00,0.00
1089.00,403.67,59.33,103.67,208.75,0.00,0.00,208.75,0.00,0.00
1093.50,405.33,59.75,104.92,209.58,0.00,0.00,209.58,0.00,0.00
1098.00,407.00,60.08,106.25,210.42,0.00,0.00,210.42,0.00,0.00
1102.50,408.67,60.50,107.50,211.33,0.00,0.00,211.33,0.00,0.00
1107.00,410.33,60.83,108.83,212.17,0.00,0.00,212.17,0.00,0.00
1111.50,412.00,61.25,110.08,213.00,0.00,0.00,213.00,0.00,0.00
1116.00,413.67,61.67,111.33,213.92,0.00,0.00,213.92,0.00,0.00
1120.50,415.33,62.00,112.67,214.75,0.00,0.00,214.75,0.00,0.00
1125.00,417.00,62.42,113.92,215.58,0.00,0.00,215.58,0.00,0.00
1129.50,418.67,62.83,115.17,216.50,0.00,0.00,216.50,0.00,0.00
1134.00,420.33,63.17,116.50,217.33,0.00,0.00,217.33,0.00,0.00
1138.50,422.00,63.58,117.75,218.25,0.00,0.00,218.25,0.00,0.00
1143.00,423.67,64.00,119.00,219.08,0.00,0.00,219.08,0.00,0.00
1147.50,425.33,64.33,120.33,219.92,0.00,0.00,219.92,0.00,0.00
1152.00,427.00,64.75,121.58,220.83,0.00,0.00,220.83,0.00,0.00
1156.50,428.67,65.08,122.92,221.67,0.00,0.00,221.67,0.00,0.00
1161.00,430.33,65.50,124.17,222.50,0.00,0.00,222.50,0.00,0.00
1165.50,432.00,65.92,125.42,223.42,0.00,0.00,223.42,0.00,0.00
1170.00,433.67,66.25,126.75,224.25,0.00,0.00,224.25,0.00,0.00
1174.50,435.33,66.67,128.00,225.08,0.00,0.00,225.08,0.00,0.00
1179.00,437.00,67.08,129.25,226.00,0.00,0.00,226.00,0.00,0.00
1183.50,438.67,67.42,130.58,226.83,0.00,0.00,226.83,0.00,0.00
1188.00,440.33,67.83,131.83,227.67,0.00,0.00,227.67,0.00,0.00
1192.50,442.00,68.17,133.17,228.58,0.00,0.00,228.58,0.00,0.00
1197.00,443.67,68.58,134.42,229.42,0.00,0.00,229.42,0.00,0.00
1201.50,445.33,69.00,135.67,230.25,0.00,0.00,230.25,0.00,0.00
1206.00,447.00,69.33,137.00,231.17,0.00,0.00,231.17,0.00,0.00
1210.50,448.67,69.75,138.25,232.00,0.00,0.00,232.00,0.00,0.00
1215.00,450.33,70.17,139.50,232.83,0.00,0.00,232.83,0.00,0.00
1219.50,452.00,70.50,140.83,233.75,0.00,0.00,233.75,0.00,0.00
1224.00,453.67,70.92,142.08,234.58,0.00,0.00,234.58,0.00,0.00
1228.50,455.33,71.25,143.42,235.50,0.00,0.00,235.50,0.00,0.00
1233.00,457.00,71.67,144.67,236.33,0.00,0.00,236.33,0.00,0.00
1237.50,458.67,72.08,145.92,237.17,0.00,0.00,237.17,0.00,0.00
1242.00,460.33,72.42,147.25,238.08,0.00,0.00,238.08,0.00,0.00
1246.50,462.00,72.83,148.50,238.92,0.00,0.00,238.92,0.00,0.00
1251.00,463.67,73.25,149.75,239.75,0.00,0.00,239.75,0.00,0.00
1255.50,465.33,73.58,151.08,240.67,0.00,0.00,240.67,0.00,0.00
1260.00,467.00,74.00,152.33,241.50,0.00,0.00,241.50,0.00,0.00
1264.50,468.75,74.50,153.58,242.33,0.00,0.00,242.33,0.00,0.00
1269.00,470.42,74.83,154.92,243.25,0.00,0.00,243.25,0.00,0.00
1273.50,472.08,75.25,156.17,244.08,0.00,0.00,244.08,0.00,0.00
1278.00,473.75,75.58,157.50,244.92,0.00,0.00,244.92,0.00,0.00
1282.50,475.42,76.00,158.75,245.83,0.00,0.00,245.83,0.00,0.00
1287.00,477.08,76.42,160.00,246.67,0.00,0.00,246.67,0.00,0.00
1291.50,478.75,76.75,161.33,247.50,0.00,0.00,247.50,0.00,0.00
1296.00,480.42,77.17,162.58,248.42,0.00,0.00,248.42,0.00,0.00
1300.50,482.08,77.58,163.83,249.25,0.00,0.00,249.25,0.00,0.00
1305.00,483.75,77.92,165.17,250.17,0.00,0.00,250.17,0.00,0.00
1309.50,485.42,78.33,166.42,251.00,0.00,0.00,251.00,0.00,0.00
1314.00,487.08,78.67,167.75,251.83,0.00,0.00,251.83,0.00,0.00
1318.50,488.75,79.08,169.00,252.75,0.00,0.00,252.75,0.00,0.00
1323.00,490.42,79.50,170.25,253.58,0.00,0.00,253.58,0.00,0.00
1327.50,492.08,79.83,171.58,254.42,0.00,0.00,254.42,0.00,0.00
1332.00,493.75,80.25,172.83,255.33,0.00,0.00,255.33,0.00,0.00
1336.50,495.42,80.67,174.08,256.17,0.00,0.00,256.17,0.00,0.00
1341.00,497.08,81.00,175.42,257.00,0.00,0.00,257.00,0.00,0.00
1345.50,498.75,81.42,176.67,257.92,0.00,0.00,257.92,0.00,0.00
1350.00,500.42,81.83,177.92,258.75,0.00,0.00,258.75,0.00,0.00
1354.50,502.08,82.17,179.25,259.58,0.00,0.00,259.58,0.00,0.00
1359.00,503.75,82.58,180.50,260.50,0.00,0.00,260.50,0.00,0.00
1363.50,505.42,82.92,181.83,261.33,0.00,0.00,261.33,0.00,0.00
1368.00,507.08,83.33,183.08,262.17,0.00,0.00,262.17,0.00,0.00
1372.50,508.75,83.75,184.33,263.08,0.00,0.00,263.08,0.00,0.00
1377.00,510.42,84.08,185.67,263.92,0.00,0.00,263.92,0.00,0.00
1381.50,512.08,84.50,186.92,264.83,0.00,0.00,264.83,0.00,0.00
1386.00,513.75,84.92,188.17,265.67,0.00,0.00,265.67,0.00,0.00
1390.50,515.42,85.25,189.50,266.50,0.00,0.00,266.50,0.00,0.00
1395.00,517.08,85.67,190.75,267.42,0.00,0.00,267.42,0.00,0.00
1399.50,518.75,86.00,192.08,268.25,0.00,0.00,268.25,0.00,0.00
1404.00,520.42,86.42,193.33,269.08,0.00,0.75,269.08,0.00,0.75
1408.50,522.08,86.83,194.58,270.00,0.00,1.67,270.00,0.00,1.67
1413.00,523.75,87.17,195.92,270.83,0.00,2.50,270.83,0.00,2.50
1417.50,525.42,87.58,197.17,271.67,0.00,3.33,271.67,0.00,3.33
1422.00,527.08,88.00,198.42,272.58,0.00,4.25,272.58,0.00,4.25
1426.50,528.75,88.33,199.75,273.42,0.00,5.08,273.42,0.00,5.08
1431.00,530.42,88.75,201.00,274.25,0.00,5.92,274.25,0.00,5.92
1435.50,532.08,89.17,202.25,275.17,0.00,6.83,275.17,0.00,6.83
1440.00,533.75,89.50,203.58,276.00,0.00,7.67,276.00,0.00,7.67
1444.50,535.42,89.92,204.83,276.83,0.00,8.50,276.83,0.00,8.50
1449.00,537.08,90.25,206.17,277.75,0.00,9.42,277.75,0.00,9.42
1453.50,538.75,90.67,207.42,278.58,0.00,10.25,278.58,0.00,10.25
1458.00,540.42,91.08,208.67,279.42,0.00,11.08,279.42,0.00,11.08
1462.50,542.08,91.42,210.00,280.33,0.00,12.00,280.33,0.00,12.00
1467.00,543.75,91.83,211.25,281.17,0.00,12.83,281.17,0.00,12.83
1471.50,545.42,92.25,212.50,282.08,0.00,13.75,282.08,0.00,13.75
1476.00,547.08,92.58,213.83,282.92,0.00,14.58,282.92,0.00,14.58
1480.50,548.75,93.00,215.08,283.75,0.00,15.42,283.75,0.00,15.42
1485.00,550.42,93.33,216.42,284.67,0.00,16.33,284.67,0.00,16.33
1489.50,552.08,93.75,217.67,285.50,0.00,17.17,285.50,0.00,17.17
1494.00,553.75,94.17,218.92,286.33,0.00,18.00,286.33,0.00,18.00
1498.50,555.42,94.50,220.25,287.25,0.00,18.92,287.25,0.00,18.92
1503.00,557.08,94.92,221.50,288.08,0.00,19.75,288.08,0.00,19.75
1507.50,558.75,95.33,222.75,288.92,0.00,20.58,288.92,0.00,20.58
1512.00,560.42,95.67,224.08,289.83,0.00,21.50,289.83,0.00,21.50
1516.50,562.08,96.08,225.33,290.67,0.00,22.33,290.67,0.00,22.33
1521.00,563.83,96.58,226.58,291.50,0.00,23.17,291.50,0.00,23.17
1525.50,565.50,96.92,227.92,292.42,0.00,24.08,292.42,0.00,24.08
